index, id_usuario, horas_ouvidas_rock,horas_ouvidas_samba,horas_ouvidas_pop,horas_ouvidas_rap
67, cc08a164-1736-4bfc-b5ee-71a1ee7990cd, 35,19,17,36
68, 01451b4a-857c-457f-ba7f-98e45670e27f, 27,0,8,33
69, 479f0681-1afc-487e-b1ca-0ca0ff2bdf5e, 1,32,6,1
70, 1d95dd93-1697-438d-a1a7-d84dd1752f73, 32,19,28,14
71, fe8ff04d-9a42-4ddf-b677-08cc9ae4ac8d, 26,20,32,26
72, c6a1ee3f-6d49-4065-be3f-e262d00ea653, 12,2,7,6
73, 437a2e29-db82-4e92-a4bd-3260152d3bd4, 10,7,3,17
74, 8774d3af-d278-4e36-8a66-59c911ac9825, 17,20,16,11
75, 54c47291-3b5a-4063-ba2b-fd3b0c2f16c9, 7,0,30,7
76, 97fac6ae-66f9-4d64-b928-ffb28a73f0dd, 34,31,2,30
77, 7dcd030b-256b-4b9b-9b30-49644ff7efd9, 19,22,16,14
78, 1c57ac00-59ff-4e82-a6ee-4b58f9ae5f3f, 5,25,20,8
79, b216e0a2-0448-4007-bfd9-92432dafa4e4, 37,26,14,1
80, 0279a67d-7475-44fd-871d-1b50089cc059, 28,17,37,30
81, a91a276c-10a5-412e-bea5-5e9ac8f04170, 27,29,33,13
82, c0841ba4-05f7-4a00-91b4-80f8683409c7, 17,30,14,37
83, 47002c2e-4298-499e-8d19-cbbf51cd2fa3, 8,23,31,7
84, 5aa80201-3337-4ccd-a0e0-34e6833d80bf, 26,20,13,5
85, dbecca2f-59fc-4ee4-acfd-444e36ed60e3, 34,25,1,9
86, 39a34384-f905-4de2-9e9e-802b83df39ab, 21,26,37,24
87, ceaa1001-1a95-4414-8f0b-e3a542364a08, 31,6,34,28
88, ea21cf31-8836-4bcf-b60f-68ad38ad44d0, 37,5,35,24
89, 43580c21-a8a0-4ff8-82f2-cb0d2fe5e1f7, 1,17,23,14
90, 947c6f1e-392a-4333-b975-4af6107b50ac, 6,15,13,2
91, c0f5a239-2256-4b7b-9ecc-db2caf368dae, 18,25,23,23
92, ac8f6b72-e7cb-4b7b-ba85-acfedfc888ab, 37,24,26,9
93, 2cac2a79-4ee3-41fa-b19b-b0708fabb5e9, 19,38,9,1
94, 2aa330ad-0884-412c-9f12-b2496ce49744, 10,20,31,10
95, 71368dfd-13e1-4e10-b706-ee1107c2ea7c, 1,30,7,21
96, 0e4a6eb2-258f-496c-85ba-7329687e59f7, 21,28,32,9
97, a5418aff-b7ca-4f2a-9153-e79a117927e8, 10,25,18,32
98, d57d5a43-8cdf-4358-9dc5-ac2abb3cc2b4, 7,12,12,4
99, 1e9834ab-0be2-4eb2-a0a7-f858cc95f708, 24,27,20,39
100, 7f3c2888-f30b-4639-afd0-e97b13d56fb5, 7,27,16,10
101, 43442ac7-17ed-43aa-9444-33eff0e0ac4a, 13,21,10,15
102, 302469cf-1fda-4603-971f-299ea1a3bf75, 8,21,21,10
103, 9b09d888-0595-479e-aeda-c40e7f3c522b, 31,13,5,2
104, 93b15013-ede5-47e0-9eaa-7194e68cacf6, 0,35,34,19
105, 1a1c96fc-9a51-4cfc-b225-9c66d50cea41, 23,24,1,18
106, 2d50dabd-02ff-4797-9367-590b6cf25b99, 15,13,36,19
107, 16c755e2-ef3a-4890-966d-eea893c8e048, 31,39,37,36
108, 911c228f-b382-44d8-acc5-ccee8bedbd8b, 0,12,4,34
109, d751bff4-f076-4da4-a2fd-c68b03ebfe1b, 20,38,29,13
110, 73b51c14-6f45-4a4e-992e-fb5254f3086a, 15,16,21,27
111, 1d2712b5-ff90-4415-b510-b0233086b559, 4,7,3,30
112, 85ff83b3-bca1-48ee-8efc-b39f80516e23, 21,3,12,17
113, 21540cb5-b148-4362-a4d1-f65006d91efd, 18,0,37,11
114, 1101dcce-17db-4126-8aa1-13486684021d, 7,8,7,18
115, d29b4746-9783-4d9c-b084-8d6f668294b0, 25,16,0,36
116, 821a4c2b-3f84-4fdb-946e-73a4fc2c52ee, 17,29,39,12
117, 1603dafa-2a58-44be-8857-c62ff0a17bfc, 28,10,4,30
118, 02a246cf-5424-4993-8c3f-ca2ef328cf44, 17,30,37,34
119, e57fe2de-837d-4227-a4bd-4683c3877656, 26,20,7,9
120, 5f04fbe8-5667-43b2-9126-092cc59789d9, 27,4,22,25
121, 7e4cdd8b-6dd8-4559-b6ab-bf92e4dfccba, 29,4,23,34
122, ab34b8e6-ea7f-44b5-9db6-58cd11730b4a, 26,3,30,4
123, 9e7bff63-a1b9-4550-a8f5-f6090e8a8564, 3,21,12,20
124, dae8fae5-44ab-4af3-a218-da6949896a76, 31,32,15,11
125, 2336ef84-8c75-4fa4-ba74-0d26df9c1879, 17,20,5,28
126, 7d499839-50dc-4f63-a4c9-d4ec67d3bbaa, 14,19,20,18
127, 73bdd58c-340f-4628-9c19-fba0f330d0d0, 33,18,24,6
128, 568ad1ca-7d0f-4c63-9a20-62c20c80a694, 23,8,6,39
129, d9caa6f0-966f-4fe8-9527-ff3173fad9e0, 2,14,16,0
130, 0b4e2856-e7e4-41d4-9c39-eda16ac16c8b, 21,1,0,17
131, 4c024280-8429-45c7-9409-4848462410f8, 12,10,34,18
132, 61a37050-6bba-4b67-8d34-fb2f4d3f0ae9, 13,30,2,26
133, 56fb0100-a399-4c16-9e6a-e614280ba5c6, 27,21,20,2
134, 64b6d6a0-c80a-4ee0-832d-1793932150f7, 0,7,7,17
135, e9f04df7-283f-4c6f-bf04-190aa652253d, 39,30,19,0
136, af162b25-ee27-4047-9811-27f625a839ea, 32,17,8,39
137, 5da153d7-a509-4dc0-b7c1-38660c6f64bd, 36,36,16,5
138, a46d7da3-efaf-454a-b511-bc29d78939bc, 23,6,25,5
139, 479fee5f-2879-447e-a96d-e0ed7a0a137a, 27,28,38,0
140, 92245342-3ba1-49fa-85b9-f2ee8ede904e, 1,34,28,27
141, 22f3331f-c538-48ae-b1a9-948e2e4649a1, 14,26,2,27
142, b73fb85b-32f0-4a9a-b01f-6a4ba105f61a, 20,0,24,18
143, b4e40c83-b9a9-4f21-928b-26180bcf24b6, 29,34,12,35
144, 280ae805-cf7c-4255-9338-097b69a94108, 8,31,2,16
145, fd2955cd-b90b-4bc9-aeb2-e2bb1c0935ba, 11,14,26,10
146, a59df33a-df87-4f1c-8733-5bbd0974f5e3, 35,13,13,39
147, d40505c5-492a-4384-8d12-528b51336435, 2,23,0,1
148, d144f872-3332-4dd1-957f-30ab9a62f8b0, 1,27,24,11
149, 23aac746-8c5a-4f57-994b-8c6165e0cbb0, 23,9,32,20
150, ac66c91c-1b90-4ebc-9bb3-e93657452de0, 31,20,32,31
151, dd053a16-b1e8-42d1-ac34-7344088e1ee3, 34,27,25,0
152, a9e5349c-19e4-4a7e-8ed7-b52d79214300, 13,2,28,0
153, b8f43d78-7b78-4f30-82c3-9e1c0804f90f, 3,11,10,34
154, 52297a99-a774-4166-b4a2-a1bf80c1845e, 32,17,24,34
155, 8c4d2757-30eb-4413-9480-9b16b68f3ca2, 26,37,35,3
156, 2d41a2d8-f811-4541-86ea-6b04fcaf6a6d, 36,34,31,25
157, 4d5080c9-3f3b-4561-8fc5-ea0eb4e3a180, 25,25,16,24
158, fb94a369-d12d-4556-8720-c90798758ca5, 14,8,21,23
159, 47ce3766-2762-4f1b-98e6-66263d9ad261, 19,17,23,17
160, 9744dadd-f182-4ab6-8b88-55ee52a20efe, 3,17,36,31
161, eeace2ee-d478-4fd4-b7e6-bc602381b09a, 14,8,19,34
162, d47254bd-d5ea-47a0-8354-914d984b2b69, 12,22,28,17
163, ced28331-863f-469d-adfb-cec2e6d2fdb2, 17,21,30,36
164, 2d47f7d1-72bb-43e9-bd53-9963cf202099, 35,34,10,3
165, 63374236-f488-491f-91ef-5706ff72fdae, 35,17,24,32
166, f0516f9f-4092-42f4-9e52-70ac57378b94, 7,0,0,11
167, c2ba1231-f171-4d88-88cb-e5a3c0cd8f91, 12,25,30,15
168, 35b01e79-ade5-4ce2-8e84-74bacfc1235e, 18,21,13,27
169, 1d0a0c58-5fe2-41c7-8af1-12730072d1d5, 35,9,20,14
170, b89f9e0a-b47e-42db-b314-9c9d9045498d, 7,15,23,27
171, 82f87afe-ba67-48fb-b69d-692f51a549dc, 31,15,26,11
172, 0a93d9b9-9ea9-432c-96a6-5578702b5336, 0,39,8,26
173, 83d7180d-c47e-435b-9c0a-0261e1230f10, 32,5,28,37
174, 661e3041-1fba-4404-a0c9-e4d6076891cb, 1,2,28,30
175, 6590d178-5700-428a-a267-a39ac08ed591, 4,14,1,22
176, b500449e-c51f-4ad3-ab39-c90c234e807c, 14,27,12,17
177, 9c21b931-c8de-4ffb-9092-1040eb2aa622, 7,8,4,31
178, 0e62a426-78f6-44da-b090-79b35651760f, 7,20,37,10
179, 10cbdd6d-2db6-4e30-bf85-dbf98c686fec, 11,39,13,13
180, cf4b8cf7-8e7b-49c5-a273-bfd794644c92, 38,30,12,4
181, f4cddd8f-7c7f-4d63-bfa8-515cfce35156, 24,20,30,9
182, c1a59c7c-c5c9-4138-afd2-fca0b4064821, 2,16,23,1
183, 34ce935d-e54e-413a-b504-5dd8dcc73382, 15,5,21,32
184, 9c858c36-d09a-4568-8d0c-16760ff4172e, 27,25,13,38
185, 6ae99586-5257-4392-a19b-086351d0576e, 27,0,9,32
186, 77e60c67-c385-4a36-a311-ab9cf8752b80, 28,25,9,11
187, c2b3d402-67ac-4760-989a-aabf3ac019fd, 37,14,8,25
188, 6151781f-ff43-46e4-9e99-ca1d5393e805, 18,33,5,10
189, 45017063-872a-444e-833f-493565c32821, 3,29,23,8
190, fbc2315b-77f9-4ef3-849a-60d6b2cd49f8, 3,21,28,21
191, 91a64973-0ce0-43d9-93bb-2eadc69362a9, 2,36,5,19
192, 52965b0e-d05d-4d6f-99ab-bf720f27f808, 32,3,25,36
193, 93052ee5-c514-4bca-b1c2-71db8418a76f, 37,32,15,23
194, 0cf0b761-60b3-4ad8-a41a-5eede07ecf73, 5,25,1,18
195, 7e933c81-ee65-4359-b60e-6436a1a1b8dc, 24,34,1,1
196, a130a604-905f-4e3d-a882-15cc81893cdf, 6,36,38,10
197, 10390276-e7be-4792-9c00-a69b3d93d58d, 38,32,22,24
198, 8e990cca-2591-4596-b72f-1f803749d662, 12,6,36,36
199, ba65b1c7-dfae-4815-a50a-08590fb5b503, 32,2,16,6
200, 5fb74222-0f4b-4ef5-ba73-16dd9bdf6c95, 9,33,5,4
201, 09df0d00-ccfa-4dd3-bdc3-ab2445b157d8, 13,25,28,38
202, f9e28ab3-2380-4523-b42d-53244aaae370, 32,16,37,18
203, cd0b40ef-073f-4e12-a52b-5d9fdf928666, 25,13,24,36
204, 14ceb8d1-3d63-4c0a-83d7-4f47e939daff, 7,19,5,34
205, 019713f8-f8f7-4235-83e8-099bd25cd928, 34,37,3,4
206, 61668216-783a-4dda-9430-3bb2b27d0711, 23,16,9,23
207, e04a2311-7fe6-4f74-963f-a204b9ac4d0d, 13,35,25,37
208, 26a8764a-97c6-49b6-a101-0aa82272c747, 13,19,5,2
209, d1efa15a-10a4-4533-8205-72b6373f0c1c, 25,30,5,9
210, e645b516-c35e-4b07-9665-cccd88be74ec, 19,29,8,15
211, 9ffb0995-6cca-475b-82bd-6f0c843f90ab, 24,35,36,2
212, abccdb09-e152-433b-8ecd-ba64aace36bf, 21,12,19,30
213, fa5cb0e0-0d9a-4170-9e4f-41c5fc12d238, 4,11,13,23
214, 11ab76a0-3d95-48ab-99a5-901c8b7c4a12, 12,31,14,36
215, ed2be7aa-4f1a-4573-bfcc-372f226b39df, 28,28,21,1
216, 93d7e479-0584-4370-b0af-1e3280a0e2ff, 13,7,21,5
217, 5d64ba8d-1003-4a1f-88d8-848fe654d4e7, 35,28,17,2
218, 2c11bc41-03ec-4c11-ad6c-cd9ee45f0254, 10,24,16,12
219, 283d74ff-99ba-4423-a639-145565f34c5c, 28,18,9,0
220, 50eca01a-2e99-4282-b377-89bf9d61149f, 14,2,14,29
221, 893c3a18-d293-433d-b029-6e2a10744f03, 24,32,33,2
222, 67a2a981-9976-4614-8a4a-a28c154a0f07, 38,20,17,22
223, 3d749031-e234-4683-b99f-40aa6cc54103, 34,27,25,15
224, 6fc2fb0f-1625-46cd-924a-8f592d17ee19, 32,35,29,37
225, af27d382-fc0c-45b5-86fd-455726bcfe9d, 24,12,30,12
226, f974bd8a-fc8b-4e0d-a435-ddb8950de1fa, 19,2,15,13
227, 2c5b0f3b-eed6-4998-a034-ec387223b335, 26,1,22,28
228, f7d96206-fd99-4faa-af62-cb018115b2ad, 23,10,13,16
229, b562328d-baf9-4097-a3f7-c35ee1bcda0f, 22,11,38,37
230, 2ee2d774-4199-48c2-8821-38e1519276bb, 2,27,18,10
231, e784d308-8f97-4880-b318-2ea8620f07af, 26,8,27,4
232, 823581cd-623f-4d10-bdfc-49b821e6c43b, 37,34,6,12
233, ad5e1d4b-25ee-4c16-bc00-4861f637955e, 21,3,17,17
234, 7ff84a02-9d6e-4c8e-857e-e0a97de3572f, 16,30,28,39
235, 2e1dbfdd-9de2-41bf-8ddd-586fc71d68b5, 17,17,7,32
236, cd31b81a-cbfb-4ebb-90b4-422582400ee1, 34,18,0,38
237, 0d9883e5-31f9-4369-b27c-717db69ac0cc, 3,33,32,11
238, e74b913f-4717-44a9-ae60-ba2645ab084a, 17,27,19,38
239, 9f636412-9ca6-4e88-a127-2319f765c49f, 12,38,4,26
240, 2bc89511-4409-47e9-a172-a705372af00e, 30,18,23,11
241, 218b9bd7-a6fd-4abf-92d9-e18139c45b08, 18,29,10,38
242, bcc8b0d8-4e0c-4f41-9883-6c33b8fe68f7, 26,27,19,19
243, 6f5455aa-687a-4a5a-8464-ce89c2b27f7f, 16,36,24,21
244, b6b4b7d6-155d-44bd-980c-52147beec3cd, 18,22,2,4
245, 0670ee3c-bfdd-4e15-b5ec-eec9060a4248, 5,37,22,3
246, 308e7634-204f-4642-9660-184e261c72c9, 25,38,10,16
247, 4614a97d-78ae-4c19-89d1-69cd2d203557, 28,2,11,18
248, bb7d51de-ff17-4bac-aa0c-ac43025c3346, 10,22,38,18
249, d1e228ce-7084-4baa-91c6-ff1a2ed02fe6, 14,18,31,9
250, 8f626e7e-da3f-4adf-bf85-1d187a788d9e, 29,36,7,5
251, 1edc56e8-90f4-4a31-b218-595fea804c41, 6,11,24,32
252, 19ddb85e-01fa-4eaa-954f-a2bc5443dad9, 0,3,5,14
253, 3d1a1b55-ac9c-4138-ad0d-c3be3bf80ae0, 32,7,38,23
254, e666664d-72e4-4138-9223-ac64fcc9d70f, 29,32,14,10
255, 8fa7429d-d17f-448a-9a52-60e7e825dba1, 5,8,22,5
256, 955a4344-c328-4c50-9b84-8dd8c893767b, 23,5,8,36
257, 842287b8-f44d-4f96-add6-6b6c00b8fa2e, 15,32,6,31
258, 1ff56d25-070e-4c48-99ac-5daed4046614, 19,24,7,25
259, 76f79a3d-03ee-4508-a9f4-ea1a5d2031b4, 4,28,19,11
260, d0ec53c0-d25d-4b45-84f6-1d06a80479ac, 13,0,17,22
261, 411babc5-670f-42a0-8387-0d2ce440dfde, 15,31,2,31
262, 3e67a483-dd8c-43f1-abf4-f380c76804dc, 37,31,24,19
263, 4772ea76-b437-49d3-9ac4-3ccbc8307daa, 21,8,1,14
264, a5d59b95-92fe-427e-8a31-be61e0fa8f37, 14,24,39,2
265, ecd5d1e6-8b44-47d7-8b9c-00b2b5db3b6d, 36,28,12,30
266, f8cef42c-4020-4831-ac8d-dabaad887a62, 32,0,1,0
267, 93c1b051-44e8-4379-8679-ba3935ff3531, 29,15,36,10
268, f8e0dd4c-254c-46e2-af69-7b0c14af9911, 12,38,13,4
269, 1a2494df-edb9-4508-a7b7-a1aee9afcd16, 30,3,34,31
270, aecb48a3-09a3-48dc-82cb-2d368f579dbf, 6,1,1,27
271, b725a249-d17e-4b32-a318-9870297206d3, 4,21,2,0
272, 4f3c0ba2-790f-4efe-9700-2558e36288c5, 37,36,14,23
273, 9c8c3196-98ae-4bb5-9673-9f9c1a7de659, 14,39,34,34
274, 0801905c-b4a5-491d-b743-37c3c229f564, 22,16,7,20
275, aaed7db4-b1a5-43bd-8bb5-81d5a62325f5, 25,8,6,20
276, b3730ac0-3f4e-4af2-b54c-e62451da3f98, 22,39,33,25
277, c4d4da30-e92a-472c-a5d0-fe4d9f1f7376, 24,38,39,38
278, f08ae0c2-5205-44e4-9bc6-420adcd80f9c, 0,35,24,10
279, a80e989f-d921-4475-9f20-36d52d46fb7c, 39,26,28,13
280, f9343388-8df6-4f37-badf-407ba1cc2e24, 19,22,5,1
281, 42c8a157-3532-4954-8259-b86547dc322b, 20,29,6,28
282, 9e5c7a13-8d6c-4e54-83cf-7d85eab16958, 12,18,27,35
283, c599c330-f272-4b9c-b11c-4330e9672a92, 13,30,36,11
284, 425e6ab7-c706-4743-9743-d18119e4ef5b, 38,35,9,16
285, 86d4c70a-b59f-4c1e-9b4d-cf312e880aa0, 5,27,29,6
286, 0871c460-edc7-4401-a753-bc0a11561601, 23,29,1,13
287, c4b2087b-4f84-4d0b-b556-fab4901c192f, 35,4,12,22
288, 0d093344-37af-4c93-9a5a-012afa0cc53c, 24,39,5,32
289, d1d9474a-07b0-4d9a-8b75-c87b0536a0b1, 29,8,18,6
290, f8d8cae3-8702-4808-ae37-b8e29db655c0, 1,37,31,32
291, 8c5ffd59-413f-4e19-a596-3f680f051b2e, 33,17,22,18
292, 372717f0-302b-49fa-8bd2-9a354d7424a3, 34,16,30,32
293, 0f3c042f-86d5-453d-8e4a-af95298ff5c8, 29,39,10,33
294, d47a3653-cd2b-477f-82a1-30fd8548dfcd, 6,29,9,10
295, d0e6ffe4-3246-4558-a6b1-3ac84f6e42de, 24,26,24,30
296, 6619e0b7-0ec5-49ae-9487-ea1d8fe871cd, 7,2,32,14
297, 800b27ea-c193-4921-8169-7f77eb936ebf, 7,17,26,18
298, 86564f4d-e1f3-4e57-a29f-1f7368b470b8, 5,7,38,6
299, 5cad6f80-b2c4-48ce-bad7-024000c042c0, 15,15,13,15
300, 29b8b69d-1a83-4081-ab9b-7a1766f8fbb7, 10,24,26,19
301, 8850897a-f152-4439-a970-ecc846019e91, 24,31,18,5
302, d1a63c68-4dc7-4f1e-9ec1-c26b439914cc, 27,12,8,38
303, 37831d85-d6ea-46eb-900a-3a7c42490d47, 26,19,15,20
304, 73b8d90e-a79f-4f46-b8f0-598a25509897, 20,36,39,20
305, b6ea34f8-53dd-4039-91a5-de4000730b8e, 23,36,38,15
306, d18b1e2d-48b6-4bd2-9dbc-0874550cbdff, 23,10,33,38
307, f9e0f11c-87b1-42d8-a386-ef74325718d4, 38,15,9,17
308, df0adc9b-de0f-4622-8e6f-408a8f7f099d, 13,9,17,38
309, 2efc40f4-a0bf-4bf2-ac21-671a9f937c57, 14,17,32,14
310, 54ef57a1-056b-4df7-b74b-991aa15ad4bc, 14,17,36,9
311, b75203f2-7f4b-4644-acad-b3e739f96177, 4,39,23,29
312, f5e5a0b8-49f8-4951-b7b4-4b0d617c463c, 36,38,12,23
313, 2b3b2554-230d-4791-8a4d-dc8e10deed02, 15,12,8,27
314, 148aa125-ef3c-4f5c-a947-71a43eef04d7, 27,29,34,15
315, a0432a3d-d2ba-4f09-92df-6b166bbaa46f, 25,14,22,9
316, 29ea7da2-b026-4c2b-bb60-259703af554f, 34,4,21,37
317, 10b8fa90-473a-4442-9433-8df80ccfab37, 10,2,20,38
318, c060e5b2-81f2-4321-b6bb-bb785f8724e9, 25,5,39,15
319, 3832be51-beac-44ed-a5ff-e923068f0618, 12,2,12,30
320, b708d386-c428-41fd-97aa-dc80345256f5, 1,37,27,17
321, 6a592b1d-4ac9-4bd8-9cea-580a8c23ae53, 13,24,27,13
322, 62de2046-0686-4f6d-84b3-f1789c15a6ed, 14,26,34,33
323, c216e12d-96d0-41bd-8f83-0d14b313129e, 33,30,23,22
324, 23d064af-d74a-4b87-8326-6ea9f818020c, 23,3,38,13
325, 592b4462-b65f-4aae-b604-f27a59ede662, 24,21,17,31
326, 24f41768-6096-4073-82b0-4a42f53c73b1, 1,29,3,27
327, 311a9bad-dfbb-4784-b782-89585fe44443, 10,25,26,24
328, 6d7891fd-04d0-4e6d-ad15-9d9385beacde, 27,28,8,31
329, caa70f5f-4ad4-4cc8-8860-715ad2ede9d1, 26,32,27,8
330, 5f50eb26-377b-44b8-a874-4361c293e07d, 38,24,25,19
331, 429aa6e3-9729-4843-8d9e-f17225111e5d, 39,12,24,17
332, 01bab4b9-e517-4bbe-90e2-a5f29fdd0968, 14,12,39,20
333, b8ed8f89-dc16-40f6-9eb6-7ba5dc2e5501, 21,37,11,25
334, 0d11693a-6de9-49b1-a4b4-bb4e3bfac50b, 30,14,1,5
335, f54044dc-06ee-4af4-b48d-da0b9458c37e, 0,23,27,18
336, 0dc99e9a-5baa-46e8-847c-47ce680f4df1, 18,34,34,3
337, a7871be7-60e6-458e-aca9-8deffe9d8467, 7,32,22,26
338, 04d8b13c-1a24-4c5b-8976-237932eda0d7, 7,32,33,33
339, a73f8222-d39f-4834-a180-c7e44776204b, 1,31,1,13
340, 8d69c1f5-b5c3-4636-92cb-36d26d4768e7, 8,14,28,14
341, c024d8a3-4bdf-413e-9231-f23f0ed7edaf, 23,14,8,34
342, 239cb025-3b64-4bd3-9479-4c52185e38df, 30,26,9,34
343, e40045e2-74e2-4a60-826f-8b700352525a, 24,17,2,21
344, 9e83eafd-8aaf-4f7f-9bf4-880f02089d94, 2,29,39,16
345, 3bf7a190-021a-42db-9b9d-904b4d2e52f8, 13,37,39,18
346, 17621c77-183d-4c12-99a2-efd1bf2605fc, 1,6,34,28
347, 01d64f43-27ae-4389-a905-47b8626bb6a7, 2,1,4,12
348, 5aa7e5f7-eb2b-4e07-98d0-79ff4131c42d, 7,12,16,9
349, 0a9795d3-6d35-43f1-ba61-f16688d076df, 12,9,28,12
350, dbcf0ed1-955b-4288-82fc-f92e2f29abb2, 2,15,4,13
351, ac2aac54-b384-4305-9a67-e4fa0084fbbf, 11,38,12,3
352, 95f8219c-39fe-4808-b56e-22f036917bad, 10,10,32,1
353, d96b38f4-d5b3-4bb9-85d2-813e90859c41, 2,31,39,3
354, 8a82e175-eaae-4873-a2aa-01da144c63fa, 2,28,25,37
355, 4bc79c76-8b07-4bfa-80da-42134cdbb7d4, 31,16,16,30
356, bb76363e-7eb3-4519-9852-e50ff91dc59f, 10,15,17,2
357, d83e7659-4ff4-4e14-827d-79240f3fd159, 15,23,38,20
358, a6c3c7fa-8364-4597-b305-fd8e9ac58e24, 32,38,32,36
